		Hypernetwork testing function

Reading organism data at epoch: 6932
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1001100001	101	101	0
2	      1000100011	101	101	0
3	      1001110010	101	101	0
4	      0101001010	010	010	0
5	      1100011110	110	110	0
6	      0011001110	000	000	0
7	      1011101101	101	101	0
8	      0000111001	001	001	0
9	      0011000000	000	000	0
10	      1010010010	100	100	0
11	      1010001111	100	100	0
12	      1100111010	111	111	0
13	      0111011000	010	010	0
14	      1100110010	111	111	0
15	      0000111101	001	001	0
16	      1111110000	111	111	0
17	      1111010111	110	110	0
18	      1111110100	111	111	0
19	      1100100111	111	111	0
20	      0111000111	010	010	0
21	      0110110111	011	011	0
22	      1100001011	110	110	0
23	      0010001100	000	000	0
24	      0000110011	001	001	0
25	      0001100111	001	001	0
26	      1010010000	100	100	0
27	      0110001101	010	010	0
28	      0101000101	010	010	0
29	      1111111001	111	111	0
30	      1100101000	111	111	0
31	      1100001101	110	110	0
32	      0010100010	001	001	0
33	      0110011101	010	010	0
34	      0111111100	011	011	0
35	      1000001110	100	100	0
36	      1010011111	100	100	0
37	      0110111110	011	011	0
38	      0011010100	000	000	0
39	      1111101101	111	111	0
40	      0110011110	010	010	0
41	      0110001010	010	010	0
42	      0011011100	000	000	0
43	      0111000100	010	010	0
44	      1101010000	110	110	0
45	      0101101111	011	011	0
46	      1110011110	110	110	0
47	      0000001011	000	000	0
48	      1110001011	110	110	0
49	      0100001101	010	010	0
50	      0001000010	000	000	0
51	      1001110011	101	101	0
52	      1100101101	111	111	0
53	      0100111110	011	011	0
54	      0011011111	000	000	0
55	      0111110010	011	011	0
56	      0101111110	011	011	0
57	      1111010010	110	110	0
58	      1101010100	110	110	0
59	      0110100011	011	011	0
60	      1110111110	111	111	0
61	      0000001111	000	000	0
62	      1000110010	101	101	0
63	      0100111100	011	011	0
64	      0000001000	000	000	0
65	      1100111100	111	111	0
66	      1001010111	100	100	0
67	      0011100000	001	001	0
68	      0100011010	010	010	0
69	      1001111110	101	101	0
70	      1011000001	100	100	0
71	      1010000101	100	100	0
72	      1101011000	110	110	0
73	      0001001111	000	000	0
74	      0100000101	010	010	0
75	      1111100110	111	111	0
76	      0110100110	011	011	0
77	      1001000010	100	100	0
78	      1100011010	110	110	0
79	      0011110000	001	001	0
80	      1100011100	110	110	0
81	      1001000111	100	100	0
