		Hypernetwork testing function

Reading organism data at epoch: 14327
Training performance registered at file: 0.999078
Training performance evaluated: 0.999078
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0000101111	000101	000101	0
2	      0110010001	011010	011010	0
3	      0111110011	011110	011110	0
4	      1011111010	101110	101110	0
5	      1001111000	100110	100110	0
6	      1111110111	111111	111111	0
7	      0100000100	010001	010001	0
8	      1001001000	100000	100000	0
9	      0010001100	001001	001001	0
10	      0101110100	010111	010111	0
11	      0101111001	010110	010110	0
12	      0100110100	010111	010111	0
13	      0111101110	011101	011101	0
14	      1110110111	111111	111111	0
15	      0101011000	010010	010010	0
16	      0100100100	010101	010101	0
17	      1010100001	101100	101100	0
18	      0010011100	001011	001011	0
19	      0000110011	000110	000110	0
20	      1101101110	110101	110101	0
21	      1000000101	100001	100001	0
22	      0100011101	010011	010011	0
23	      1100000001	110000	110000	0
24	      1100111011	110110	110110	0
25	      1110001111	111001	111001	0
26	      1100001111	110001	110001	0
27	      1011101011	101100	101100	0
28	      0111110000	011110	011110	0
29	      0010010110	001011	001011	0
30	      0111110101	011111	011111	0
31	      0111101111	011101	011101	0
32	      0110011011	011010	011010	0
33	      0101000110	010001	010001	0
34	      1000011010	100010	100010	0
35	      1110110010	111110	111110	0
36	      1100110100	110111	110111	0
37	      1111011110	111011	111011	0
38	      1001100001	100100	100100	0
39	      0111111111	011111	011111	0
40	      0101110001	010110	010110	0
41	      1111111010	111110	111110	0
42	      0011101110	001101	001101	0
43	      0101101011	010100	010100	0
44	      0101011010	010010	010010	0
45	      0111100010	011100	011100	0
46	      0011000000	001000	001000	0
47	      0101010001	010010	010010	0
48	      1111101011	111100	111100	0
49	      0110010000	011010	011010	0
50	      1010001101	101001	101001	0
51	      0100111101	010111	010111	0
52	      0100110111	010111	010111	0
53	      1110111111	111111	111111	0
54	      1111111101	111111	111111	0
55	      0010011000	001010	001010	0
56	      0011001101	001001	001001	0
57	      1000100001	100100	100100	0
58	      0100000011	010000	010000	0
59	      1011001111	101001	101001	0
60	      1011000101	101001	101001	0
61	      1000111101	100111	100111	0
62	      0001111000	000110	000110	0
63	      0100100111	010101	010101	0
64	      0101111011	010110	010110	0
65	      1010110001	101110	101110	0
66	      1011011100	101011	101011	0
67	      0100100011	010100	010100	0
68	      0010010010	001010	001010	0
69	      1111000111	111001	111001	0
70	      1001101101	100101	100101	0
